0050, clackercart
073D, box corner sofa
0745, stacked magazines
074A, menu chalkboard
074C, desk mirror
074E, mug
0753, grand piano
0759, plastic canister
0760, rice cooker
0761, ring
0764, hourglass
076B, autograph cards
0779, wooden chair
0789, toilet
07DA, ball
07DC, chalkboard
07DD, lecture-hall bench
07DE, lecture-hall desk
07E4, director's chair
0833, shovel
0834, axe
0839, 100 Bells
083A, 200 Bells
083B, 300 Bells
083C, 400 Bells
083D, 500 Bells
083E, 600 Bells
083F, 700 Bells
0840, 800 Bells
0841, 900 Bells
0842, 1,000 Bells
0843, 2,000 Bells
0844, 3,000 Bells
0845, 4,000 Bells
0846, 5,000 Bells
0847, 6,000 Bells
0848, 7,000 Bells
0849, 8,000 Bells
084A, 9,000 Bells
084B, 10,000 Bells
084C, 11,000 Bells
084D, 12,000 Bells
084E, 13,000 Bells
084F, 14,000 Bells
0850, 15,000 Bells
0851, 16,000 Bells
0852, 17,000 Bells
0853, 18,000 Bells
0854, 19,000 Bells
0855, 20,000 Bells
0856, 21,000 Bells
0857, 22,000 Bells
0858, 23,000 Bells
0859, 24,000 Bells
085A, 25,000 Bells
085B, 26,000 Bells
085C, 27,000 Bells
085D, 28,000 Bells
085E, 29,000 Bells
085F, 30,000 Bells
0860, 31,000 Bells
0861, 32,000 Bells
0862, 33,000 Bells
0863, 34,000 Bells
0864, 35,000 Bells
0865, 36,000 Bells
0866, 37,000 Bells
0867, 38,000 Bells
0868, 39,000 Bells
0869, 40,000 Bells
086A, 41,000 Bells
086B, 42,000 Bells
086C, 43,000 Bells
086D, 44,000 Bells
086E, 45,000 Bells
086F, 46,000 Bells
0870, 47,000 Bells
0871, 48,000 Bells
0872, 49,000 Bells
0873, 50,000 Bells
0874, 51,000 Bells
0875, 52,000 Bells
0876, 53,000 Bells
0877, 54,000 Bells
0878, 55,000 Bells
0879, 56,000 Bells
087A, 57,000 Bells
087B, 58,000 Bells
087C, 59,000 Bells
087D, 60,000 Bells
087E, 61,000 Bells
087F, 62,000 Bells
0880, 63,000 Bells
0881, 64,000 Bells
0882, 65,000 Bells
0883, 66,000 Bells
0884, 67,000 Bells
0885, 68,000 Bells
0886, 69,000 Bells
0887, 70,000 Bells
0888, 71,000 Bells
0889, 72,000 Bells
088A, 73,000 Bells
088B, 74,000 Bells
088C, 75,000 Bells
088D, 76,000 Bells
088E, 77,000 Bells
088F, 78,000 Bells
0890, 79,000 Bells
0891, 80,000 Bells
0892, 81,000 Bells
0893, 82,000 Bells
0894, 83,000 Bells
0895, 84,000 Bells
0896, 85,000 Bells
0897, 86,000 Bells
0898, 87,000 Bells
0899, 88,000 Bells
089A, 89,000 Bells
089B, 90,000 Bells
089C, 91,000 Bells
089D, 92,000 Bells
089E, 93,000 Bells
089F, 94,000 Bells
08A0, 95,000 Bells
08A1, 96,000 Bells
08A2, 97,000 Bells
08A3, 98,000 Bells
08A4, 99,000 Bells
08A5, apple
08A6, orange
08A7, bitterling
08A8, pale chub
08A9, dace
08AB, carp
08AC, koi
08AD, pop-eyed goldfish
08AE, killifish
08AF, crawfish
08B0, soft-shelled turtle
08B1, tadpole
08B2, frog
08B3, freshwater goby
08B4, loach
08B5, catfish
08B7, giant snakehead
08B8, bluegill
08B9, yellow perch
08BA, black bass
08BB, pike
08BC, pond smelt
08BD, sweetfish
08BE, cherry salmon
08BF, char
08C1, stringfish
08C2, salmon
08C3, king salmon
08C4, mitten crab
08C5, guppy
08C6, nibble fish
08C7, angelfish
08C8, neon tetra
08C9, piranha
08CA, arowana
08CB, dorado
08CC, gar
08CD, arapaima
08CE, saddled bichir
08CF, sea butterfly
08D0, sea horse
08D1, clown fish
08D2, surgeonfish
08D3, butterfly fish
08D4, Napoleonfish
08D5, zebra turkeyfish
08D6, blowfish
08D7, puffer fish
08D8, horse mackerel
08D9, barred knifejaw
08DA, sea bass
08DB, red snapper
08DC, dab
08DD, olive flounder
08DE, squid
08DF, moray eel
08E0, ribbon eel
08E1, football fish
08E2, tuna
08E3, blue marlin
08E4, giant trevally
08E5, ray
08E6, ocean sunfish
08E7, hammerhead shark
08E8, great white shark
08E9, saw shark
08EA, whale shark
08EB, oarfish
08EC, coelacanth
08ED, pear
08EE, peach
08EF, cherry
08F0, coconut
08F7, bamboo shoot
0900, red cosmos
0901, white cosmos
090F, drinking fountain
0916, water pump
0919, tire toy
091D, solar panel
091F, lighthouse
0930, parabolic antenna
0946, lost item
0947, lost item
0948, flimsy net
0949, fishing rod
094B, watering can
094D, communicator part
0955, rusted part
0965, K.K. Chorale
0966, K.K. March
0967, K.K. Waltz
0968, K.K. Swing
0969, K.K. Jazz
096A, K.K. Fusion
096B, K.K. Étude
096C, K.K. Lullaby
096D, K.K. Aria
096E, K.K. Samba
096F, K.K. Bossa
0970, K.K. Calypso
0971, K.K. Salsa
0972, K.K. Mambo
0973, K.K. Reggae
0974, K.K. Ska
0975, K.K. Tango
0976, K.K. Faire
0977, Aloha K.K.
0978, Lucky K.K.
0979, K.K. Condor
097A, K.K. Steppe
097B, Imperial K.K.
097C, K.K. Casbah
097D, K.K. Safari
097E, K.K. Folk
097F, K.K. Rock
0980, Rockin' K.K.
0981, K.K. Ragtime
0982, K.K. Gumbo
0983, The K. Funk
0984, K.K. Blues
0985, Soulful K.K.
0986, K.K. Soul
0987, K.K. Cruisin'
0988, K.K. Love Song
0989, K.K. D&B
098A, K.K. Technopop
098B, DJ K.K.
098C, Only Me
098D, K.K. Country
098E, Surfin' K.K.
098F, K.K. Ballad
0990, Comrade K.K.
0991, K.K. Lament
0992, Go K.K. Rider
0993, K.K. Dirge
0994, K.K. Western
0995, Mr. K.K.
0996, Café K.K.
0997, K.K. Parade
0998, K.K. Mariachi
0999, K.K. Song
099A, I Love You
099B, Two Days Ago
099C, My Place
099D, Forest Life
099E, To the Edge
099F, Pondering
09A0, K.K. Dixie
09A1, K.K. Marathon
09A2, King K.K.
09A3, Mountain Song
09A4, Marine Song 2001
09A5, Neapolitan
09A6, Steep Hill
09A7, K.K. Rockabilly
09A8, Agent K.K.
09A9, K.K. Rally
09AA, K.K. Metal
09AB, Stale Cupcakes
09AC, Spring Blossoms
09AD, Wandering
09AE, K.K. House
09AF, K.K. Sonata
09B0, Hypno K.K.
09B1, K.K. Stroll
09B2, K.K. Island
09B3, Space K.K.
09B4, K.K. Adventure
09B5, K.K. Oasis
09B6, K.K. Bazaar
09B7, K.K. Milonga
09B8, K.K. Groove
09B9, K.K. Jongara
09BA, K.K. Flamenco
09BB, K.K. Moody
09BC, Bubblegum K.K.
09BD, K.K. Synth
09BE, K.K. Disco
09BF, K.K. Birthday
09C4, tree branch
09C5, bamboo piece
09C6, stone
09C9, gold nugget
09CF, iron nugget
09D1, customization kit
09EF, cliff construction permit
09F0, star wand
09F1, treasure
09F2, What was this again?
09F9, iron frame
09FA, double sofa
09FB, garbage can
09FC, garbage pail
09FE, wooden-block chair
09FF, pot
0A00, wooden chest
0A01, floor lamp
0A02, candle
0A07, manila clam
0A0B, ordinary mailbox
0A12, pitfall seed
0A13, fossil
0A1A, natural garden chair
0A20, tin bucket
0A24, juicy-apple TV
0A2D, wooden simple bed
0A36, mountain bike
0A37, ladder
0A40, clump of weeds
0A42, red-cosmos bag
0A43, red-cosmos stems
0A44, red-cosmos buds
0A45, white-cosmos bag
0A46, white-cosmos stems
0A47, white-cosmos buds
0A48, 10 turnips
0A49, 20 turnips
0A4A, 30 turnips
0A4B, 40 turnips
0A4C, 50 turnips
0A4D, 60 turnips
0A4E, 70 turnips
0A4F, 80 turnips
0A50, 90 turnips
0A51, 100 turnips
0A52, spoiled turnips
0A87, ダミーDIYレシピ
0A99, refrigerator
0AAB, digital alarm clock
0AB0, retro fan
0AB4, automatic washer
0ABE, tent
0AC1, party popper
0AC2, simple well
0AC3, Blathers's tent marker
0AC4, shop construction kit
0AC5,  tent
0ACF, softwood
0AD0, wood
0AD1, hardwood
0AD2, chessboard
0AD3, round space heater
0AD4, fancy violin
0AD7, squat toilet
0AD8, tankless toilet
0AD9, medicine
0ADB, birthday cupcake
0AEA, sapling
0AEC, small young hardwood
0AED, medium young hardwood
0AEE, large young hardwood
0AEF, hardwood tree
0AF0, cedar sapling
0AF2, small young cedar
0AF3, medium young cedar
0AF4, large young cedar
0AF5, cedar tree
0AF6, nursery coconut
0AF7, small young coconut
0AF8, medium young coconut
0AF9, large young coconut
0AFA, coconut tree
0AFB, nursery bamboo
0AFC, small young bamboo
0AFD, medium young bamboo
0AFE, large young bamboo
0AFF, bamboo tree
0B06, slingshot
0B2F, yellow cosmos
0B30, yellow-cosmos bag
0B31, yellow-cosmos stems
0B32, yellow-cosmos buds
0B33, pink cosmos
0B35, pink-cosmos stems
0B36, pink-cosmos buds
0B37, orange cosmos
0B39, orange-cosmos stems
0B3A, orange-cosmos buds
0B3B, black cosmos
0B3D, black-cosmos stems
0B3E, black-cosmos buds
0B3F, white tulips
0B40, white-tulip bag
0B41, white-tulip stems
0B42, white-tulip buds
0B43, red tulips
0B44, red-tulip bag
0B45, red-tulip stems
0B46, red-tulip buds
0B47, yellow tulips
0B48, yellow-tulip bag
0B49, yellow-tulip stems
0B4A, yellow-tulip buds
0B4B, pink tulips
0B4D, pink-tulip stems
0B4E, pink-tulip buds
0B4F, orange tulips
0B51, orange-tulip stems
0B52, orange-tulip buds
0B53, purple tulips
0B55, purple-tulip stems
0B56, purple-tulip buds
0B57, black tulips
0B59, black-tulip stems
0B5A, black-tulip buds
0B5B, white pansies
0B5C, white-pansy bag
0B5D, white-pansy stems
0B5E, white-pansy buds
0B5F, red pansies
0B60, red-pansy bag
0B61, red-pansy stems
0B62, red-pansy buds
0B63, yellow pansies
0B64, yellow-pansy bag
0B65, yellow-pansy stems
0B66, yellow-pansy buds
0B67, orange pansies
0B69, orange-pansy stems
0B6A, orange-pansy buds
0B6B, purple pansies
0B6D, purple-pansy stems
0B6E, purple-pansy buds
0B6F, blue pansies
0B71, blue-pansy stems
0B72, blue-pansy buds
0B73, white roses
0B74, white-rose bag
0B75, white-rose stems
0B76, white-rose buds
0B77, red roses
0B78, red-rose bag
0B79, red-rose stems
0B7A, red-rose buds
0B7B, yellow roses
0B7C, yellow-rose bag
0B7D, yellow-rose stems
0B7E, yellow-rose buds
0B7F, pink roses
0B81, pink-rose stems
0B82, pink-rose buds
0B83, orange roses
0B85, orange-rose stems
0B86, orange-rose buds
0B87, purple roses
0B89, purple-rose stems
0B8A, purple-rose buds
0B8B, black roses
0B8D, black-rose stems
0B8E, black-rose buds
0B8F, blue roses
0B91, blue-rose stems
0B92, blue-rose buds
0B93, gold roses
0B95, gold-rose stems
0B96, gold-rose buds
0BA3, white lilies
0BA4, white-lily bag
0BA5, white-lily stems
0BA6, white-lily buds
0BA7, red lilies
0BA8, red-lily bag
0BA9, red-lily stems
0BAA, red-lily buds
0BAB, yellow lilies
0BAC, yellow-lily bag
0BAD, yellow-lily stems
0BAE, yellow-lily buds
0BAF, pink lilies
0BB1, pink-lily stems
0BB2, pink-lily buds
0BB3, orange lilies
0BB5, orange-lily stems
0BB6, orange-lily buds
0BB7, black lilies
0BB9, black-lily stems
0BBA, black-lily buds
0BF8, cooler box
0BF9, gold bars
0BFC, flimsy axe
0C03, path construction permit
0C04, じぶんのスマホ
0C05, メモ
0C06, tourist telescope
0C08, brick fence
0C0A, flimsy shovel
0C0B, flimsy watering can
0C0C, flimsy fishing rod
0C12, clay
0C32, mini DIY workbench
0C77, ironwood table
0C79, ironwood chair
0C7A, ironwood low table
0C7B, ironwood cart
0C7C, ironwood dresser
0C80, ironwood bed
0C85, wooden-block stereo
0C86, wooden-block toy
0C88, wooden-block wall clock
0C9D, clothesline
0C9E, futon
0CAF, waterscaping permit
0CB3, gas range
0CB4, LCD TV (50 in.)
0CBF, wasp nest
0CC6, ironwood kitchenette
0CC7, ironwood cupboard
0CCB, ironwood clock
0CCC, elegant mushroom
0CCD, round mushroom
0CCE, skinny mushroom
0CCF, flat mushroom
0CD0, rare mushroom
0CD2, pop-up toaster
0CE9, baby chair
0CEB, digital scale
0D03, timer
0D05, LCD TV (20 in.)
0D0C, deer decoration
0D10, steamer-basket set
0D11, lifeguard chair
0D12, public bench
0D14, plastic pool
0D15, housing kit
0D1C, nursery apple
0D1D, small young apple
0D1E, medium young apple
0D1F, large young apple
0D20, apple tree
0D21, nursery orange
0D22, small young orange
0D23, medium young orange
0D24, large young orange
0D25, orange tree
0D26, nursery pear
0D27, small young pear
0D28, medium young pear
0D29, large young pear
0D2A, pear tree
0D2B, nursery peach
0D2C, small young peach
0D2D, medium young peach
0D2E, large young peach
0D2F, peach tree
0D31, nursery cherry
0D32, small young cherry
0D33, medium young cherry
0D34, large young cherry
0D35, cherry tree
0D44, natural garden table
0D45, stone table
0D46, stone stool
0D47, intercom monitor
0D48, dish-drying rack
0D4A, vertical-board fence
0D4B, bamboo lattice fence
0D4E, beekeeper's hive
0D4F, katana
0D52, small cardboard boxes
0D53, medium cardboard boxes
0D54, large cardboard boxes
0D57, termite mound
0D58, soft-serve lamp
0D64, wall-mounted TV (50 in.)
0D66, playground gym
0D67, wall fan
0D6C, wooden wardrobe
0D6E, wooden end table
0D6F, wooden table
0D72, sturdy sewing box
0D73, sewing project
0D74, wheelchair
0D75, standard umbrella stand
0D76, western-style stone
0D79, wooden stool
0D8A, empty can
0D8B, tea set
0D8C, beach towel
0D8D, boot
0D8E, old tire
0D8F, switch
0D90, golden toilet
0D91, golden seat
0D95, common bluebottle
0D96, paper kite butterfly
0D97, great purple emperor
0D98, drone beetle
0D9A, giraffe stag
0D9B, man-faced stink bug
0D9C, Madagascan sunset moth
0D9D, blue weevil beetle
0D9F, rosalia batesi beetle
0DA2, wooden waste bin
0DA9, frozen table
0DAA, frozen partition
0DAB, frozen arch
0DAC, frozen pillar
0DAD, frozen sculpture
0DAE, frozen bed
0DAF, frozen chair
0DB0, frozen tree
0DB1, frozen counter
0DB5, garden bench
0DD3, snowflake
0DD4, large snowflake
0DDF, bamboo shelf
0DE1, bamboo partition
0DE2, bamboo candleholder
0DE3, bamboo doll
0DE4, bamboo stopblock
0DE5, bamboo floor lamp
0DE6, bamboo wall decoration
0DE7, iron wall lamp
0DE8, iron worktable
0DE9, iron hanger stand
0DEA, iron wall rack
0DEB, iron shelf
0DFC, bonsai shelf
0DFD, fish-drying rack
0DFE, book
0DFF, fishing-boat flag
0E00, writing poster
0E02, magazine
0E03, fishing-rod stand
0E04, signpost
0E06, desktop computer
0E07, birthday candles
0E08, birthday cake
0E09, birthday table
0E0A, birthday sign
0E0B, park clock
0E0C, pool
0E1F, open-frame kitchen
0E20, system kitchen
0E21, stall
0E22, cutting board
0E23, food jar
0E24, toy cockroach
0E25, loft bed with desk
0E26, floor seat
0E27, toy box
0E28, cute bed
0E46, oil lamp
0E4A, bamboo basket
0E58, cardboard box
0E5B, hay bed
0E61, piano bench
0E63, plain sink
0E64, coconut juice
0E69, sauna heater
0E6C, plain wooden shop sign
0E71, portable radio
0E73, fish print
0E75, writing desk
0E76, writing chair
0E7D, white windflowers
0E7E, white-windflower bag
0E7F, white-windflower stems
0E80, white-windflower buds
0E81, orange windflowers
0E82, orange-windflower bag
0E83, orange-windflower stems
0E84, orange-windflower buds
0E85, blue windflowers
0E86, blue-windflower stems
0E87, blue-windflower buds
0E88, pink windflowers
0E89, pink-windflower stems
0E8A, pink-windflower buds
0E8B, red windflowers
0E8C, red-windflower bag
0E8D, red-windflower stems
0E8E, red-windflower buds
0E8F, purple windflowers
0E90, purple-windflower stems
0E91, purple-windflower buds
0E92, white hyacinths
0E93, white-hyacinth bag
0E94, white-hyacinth stems
0E95, white-hyacinth buds
0E96, yellow hyacinths
0E97, yellow-hyacinth bag
0E98, yellow-hyacinth stems
0E99, yellow-hyacinth buds
0E9A, pink hyacinths
0E9B, pink-hyacinth stems
0E9C, pink-hyacinth buds
0E9D, orange hyacinths
0E9E, orange-hyacinth stems
0E9F, orange-hyacinth buds
0EA0, red hyacinths
0EA1, red-hyacinth bag
0EA2, red-hyacinth stems
0EA3, red-hyacinth buds
0EA4, blue hyacinths
0EA5, blue-hyacinth stems
0EA6, blue-hyacinth buds
0EA7, purple hyacinths
0EA8, purple-hyacinth stems
0EA9, purple-hyacinth buds
0EAA, white mums
0EAB, white-mum bag
0EAC, white-mum stems
0EAD, white-mum buds
0EAE, yellow mums
0EAF, yellow-mum bag
0EB0, yellow-mum stems
0EB1, yellow-mum buds
0EB2, purple mums
0EB3, purple-mum stems
0EB4, purple-mum buds
0EB5, pink mums
0EB6, pink-mum stems
0EB7, pink-mum buds
0EB8, red mums
0EB9, red-mum bag
0EBA, red-mum stems
0EBB, red-mum buds
0EBC, golden candlestick
0EBD, terrarium
0EBE, Libra scale
0EBF, hanging terrarium
0EC0, brick well
0EC2, green-mum stems
0EC3, green-mum buds
0EC7, den desk
0EC8, den chair
0EC9, potted ivy
0EDA, pine bonsai tree
0EDD, mush parasol
0EDE, mush partition
0EE0, mush log
0EE2, golden dishes
0EE8, streetlamp
0EE9, spider web
0EEA, pennant
0EEB, oil-barrel bathtub
0EEC, fan
0EED, air circulator
0EEE, pro tape recorder
0EEF, red-cosmos sprouts
0EF0, red-cosmos plant
0EF1, white-cosmos sprouts
0EF2, white-cosmos plant
0EF3, yellow-cosmos sprouts
0EF4, yellow-cosmos plant
0EF6, pink-cosmos plant
0EF8, orange-cosmos plant
0EFA, black-cosmos plant
0EFB, white-tulip sprouts
0EFC, white-tulip plant
0EFD, red-tulip sprouts
0EFE, red-tulip plant
0EFF, yellow-tulip sprouts
0F00, yellow-tulip plant
0F02, pink-tulip plant
0F04, orange-tulip plant
0F06, purple-tulip plant
0F08, black-tulip plant
0F09, white-pansy sprouts
0F0A, white-pansy plant
0F0B, red-pansy sprouts
0F0C, red-pansy plant
0F0D, yellow-pansy sprouts
0F0E, yellow-pansy plant
0F10, orange-pansy plant
0F12, purple-pansy plant
0F14, blue-pansy plant
0F15, white-rose sprouts
0F16, white-rose plant
0F17, red-rose sprouts
0F18, red-rose plant
0F19, yellow-rose sprouts
0F1A, yellow-rose plant
0F1C, pink-rose plant
0F1E, orange-rose plant
0F20, purple-rose plant
0F22, black-rose plant
0F24, blue-rose plant
0F26, gold-rose plant
0F2D, white-lily sprouts
0F2E, white-lily plant
0F2F, red-lily sprouts
0F30, red-lily plant
0F31, yellow-lily sprouts
0F32, yellow-lily plant
0F34, pink-lily plant
0F36, orange-lily plant
0F38, black-lily plant
0F39, white-windflower sprouts
0F3A, white-windflower plant
0F3B, orange-windflower sprouts
0F3C, orange-windflower plant
0F3E, blue-windflower plant
0F40, pink-windflower plant
0F41, red-windflower sprouts
0F42, red-windflower plant
0F44, purple-windflower plant
0F45, white-hyacinth sprouts
0F46, white-hyacinth plant
0F47, yellow-hyacinth sprouts
0F48, yellow-hyacinth plant
0F4A, pink-hyacinth plant
0F4C, orange-hyacinth plant
0F4D, red-hyacinth sprouts
0F4E, red-hyacinth plant
0F50, blue-hyacinth plant
0F52, purple-hyacinth plant
0F53, white-mum sprouts
0F54, white-mum plant
0F55, yellow-mum sprouts
0F56, yellow-mum plant
0F58, purple-mum plant
0F5A, pink-mum plant
0F5B, red-mum sprouts
0F5C, red-mum plant
0F5E, green-mum plant
0F67, ironwood DIY workbench
0F6A, outdoor table
0F6B, outdoor bench
0F6C, accessories stand
0F6D, anthurium plant
0F6E, antique chair
0F6F, antique console table
0F70, antique table
0F71, antique phone
0F72, antique clock
0F73, antique vanity
0F74, antique bureau
0F75, antique bed
0F76, antique mini table
0F77, antique wardrobe
0F78, handy water cooler
0F79, fortune-telling set
0F7A, inflatable sofa
0F7B, film projector
0F7D, painting set
0F7E, big festive tree
0F7F, broom and dustpan
0F80, homework set
0F81, toy centipede
0F82, imperial decorative shelves
0F83, imperial partition
0F84, imperial chest
0F85, imperial bed
0F86, imperial low table
0F87, orange end table
0F88, orange wall-mounted clock
0F89, shell arch
0F8A, shell partition
0F8B, shell stool
0F8C, shell table
0F8E, shell fountain
0F8F, shell bed
0F90, shell lamp
0F92, wall-mounted TV (20 in.)
0F93, wall-mounted phone
0F97, festive tree
0F98, key holder
0F99, analog kitchen scale
0F9B, cute DIY table
0F9C, cute wall-mounted clock
0F9D, cute wardrobe
0F9E, cute sofa
0F9F, cute chair
0FA0, cute tea table
0FA1, cute vanity
0FA2, cute floor lamp
0FA3, cute music player
0FA6, climbing wall
0FA8, kettle bathtub
0FA9, cordless phone
0FAB, cherry speakers
0FAC, cherry lamp
0FAD, sandbag
0FAE, folding floor lamp
0FAF, shower booth
0FB0, lab-experiments set
0FB1, shower set
0FB3, stand mixer
0FB7, pants press
0FB9, unglazed dish set
0FBA, utility sink
0FBB, floral swag
0FBC, retro radiator
0FBD, rotary phone
0FBE, bathroom towel rack
0FC1, traditional tea set
0FC2, scattered papers
0FC3, log garden lounge
0FC4, log decorative shelves
0FC5, log wall-mounted clock
0FC6, log stool
0FC7, log sofa
0FC8, log dining table
0FC9, log bed
0FCA, log bench
